Case #1:
35 3002
35 3045
35 3086
35 3129
35 3170
35 3213
35 3254
35 3297
35 3338
35 3381
35 3422
35 3465
35 3506
35 3549
35 3590
35 3633
35 3674
35 3717
35 3758
35 3801
35 3842
35 3885
35 3926
35 3969
35 4010
35 4053
35 4094
35 4137
35 4178
35 4221
35 4262
35 4305
35 4346
35 4389
35 4430
35 4473
35 4514
35 4557
35 4598
35 4641
35 4682
35 4725
35 4766
35 4809
35 4850
35 4893
35 4934
35 4977
35 5018
35 5061
35 5102
35 5145
35 5186
35 5229
35 5270
35 5313
35 5354
84 21
84 62
84 105
84 146
84 189
84 230
84 273
84 314
84 357
84 398
84 441
84 482
84 525
84 566
84 609
84 650
84 693
84 734
84 777
84 818
84 861
84 902
84 945
84 986
84 1029
84 1070
84 1113
84 1154
84 1197
84 1238
84 1281
84 1322
84 1365
84 1406
84 1449
84 1490
84 1533
84 1574
84 1617
84 1658
84 1701
84 1742
84 1785
84 1826
84 1869
84 1910
84 1953
84 1994
84 2037
84 2078
84 2121
84 2162
84 2205
84 2246
84 2289
84 2330
84 2373
84 2414
84 2457
84 2498
84 2541
84 2582
84 2625
84 2666
84 2709
84 2750
84 2793
84 2834
84 2877
84 2918
84 2961
84 3002
84 3045
84 3086
84 3129
84 3170
84 3213
84 3254
84 3297
84 3338
84 3381
84 3422
84 3465
84 3506
84 3549
84 3590
84 3633
84 3674
84 3717
84 3758
84 3801
84 3842
84 3885
84 3926
84 3969
84 4010
84 4053
84 4094
84 4137
84 4178
84 4221
84 4262
84 4305
84 4346
84 4389
84 4430
84 4473
84 4514
84 4557
84 4598
84 4641
84 4682
84 4725
84 4766
84 4809
84 4850
84 4893
84 4934
84 4977
84 5018
84 5061
84 5102
84 5145
84 5186
84 5229
84 5270
84 5313
84 5354
103 26
103 57
103 110
103 141
103 194
103 225
103 278
103 309
103 362
103 393
103 446
103 477
103 530
103 561
103 614
103 645
103 698
103 729
103 782
103 813
103 866
103 897
103 950
103 981
103 1034
103 1065
103 1118
103 1149
103 1202
103 1233
103 1286
103 1317
103 1370
103 1401
103 1454
103 1485
103 1538
103 1569
103 1622
103 1653
103 1706
103 1737
103 1790
103 1821
103 1874
103 1905
103 1958
103 1989
103 2042
103 2073
103 2126
103 2157
103 2210
103 2241
103 2294
103 2325
103 2378
103 2409
103 2462
103 2493
103 2546
103 2577
103 2630
103 2661
103 2714
103 2745
103 2798
103 2829
103 2882
103 2913
103 2966
103 2997
103 3050
103 3081
103 3134
103 3165
103 3218
103 3249
103 3302
103 3333
103 3386
103 3417
103 3470
103 3501
103 3554
103 3585
103 3638
103 3669
103 3722
103 3753
103 3806
103 3837
103 3890
103 3921
103 3974
103 4005
103 4058
103 4089
103 4142
103 4173
103 4226
103 4257
103 4310
103 4341
103 4394
103 4425
103 4478
103 4509
103 4562
103 4593
103 4646
103 4677
103 4730
103 4761
103 4814
103 4845
103 4898
103 4929
103 4982
103 5013
103 5066
103 5097
103 5150
103 5181
103 5234
103 5265
103 5318
103 5349
136 26
136 57
136 110
136 141
136 194
136 225
136 278
136 309
136 362
136 393
136 446
136 477
136 530
136 561
136 614
136 645
136 698
136 729
136 782
136 813
136 866
136 897
136 950
136 981
136 1034
136 1065
136 1118
136 1149
136 1202
136 1233
136 1286
136 1317
136 1370
136 1401
136 1454
136 1485
136 1538
136 1569
136 1622
136 1653
136 1706
136 1737
136 1790
136 1821
136 1874
136 1905
136 1958
136 1989
136 2042
136 2073
136 2126
136 2157
136 2210
136 2241
136 2294
136 2325
136 2378
136 2409
136 2462
136 2493
136 2546
136 2577
136 2630
136 2661
136 2714
136 2745
136 2798
136 2829
136 2882
136 2913
136 2966
136 2997
136 3050
136 3081
136 3134
136 3165
136 3218
136 3249
136 3302
136 3333
136 3386
136 3417
136 3470
136 3501
136 3554
136 3585
136 3638
136 3669
136 3722
136 3753
136 3806
136 3837
136 3890
136 3921
136 3974
136 4005
136 4058
136 4089
136 4142
136 4173
136 4226
136 4257
136 4310
136 4341
136 4394
136 4425
136 4478
136 4509
136 4562
136 4593
136 4646
136 4677
136 4730
136 4761
136 4814
136 4845
136 4898
136 4929
136 4982
136 5013
136 5066
136 5097
136 5150
136 5181
136 5234
136 5265
136 5318
136 5349
155 21
155 62
155 105
155 146
155 189
155 230
155 273
155 314
155 357
155 398
155 441
155 482
155 525
155 566
155 609
155 650
155 693
155 734
155 777
155 818
155 861
155 902
155 945
155 986
155 1029
155 1070
155 1113
155 1154
155 1197
155 1238
155 1281
155 1322
155 1365
155 1406
155 1449
155 1490
155 1533
155 1574
155 1617
155 1658
155 1701
155 1742
155 1785
155 1826
155 1869
155 1910
155 1953
155 1994
155 2037
155 2078
155 2121
155 2162
155 2205
155 2246
155 2289
155 2330
155 2373
155 2414
155 2457
155 2498
155 2541
155 2582
155 2625
155 2666
155 2709
155 2750
155 2793
155 2834
155 2877
155 2918
155 2961
155 3002
155 3045
155 3086
155 3129
155 3170
155 3213
155 3254
155 3297
155 3338
155 3381
155 3422
155 3465
155 3506
155 3549
155 3590
155 3633
155 3674
155 3717
155 3758
155 3801
155 3842
155 3885
155 3926
155 3969
155 4010
155 4053
155 4094
155 4137
155 4178
155 4221
155 4262
155 4305
155 4346
155 4389
155 4430
155 4473
155 4514
155 4557
155 4598
155 4641
155 4682
155 4725
155 4766
155 4809
155 4850
155 4893
155 4934
155 4977
155 5018
155 5061
155 5102
155 5145
155 5186
155 5229
155 5270
155 5313
155 5354
204 21
204 62
204 105
204 146
204 189
204 230
204 273
204 314
204 357
204 398
204 441
204 482
204 525
204 566
204 609
204 650
204 693
204 734
204 777
204 818
204 861
204 902
204 945
204 986
204 1029
204 1070
204 1113
204 1154
204 1197
204 1238
204 1281
204 1322
204 1365
204 1406
204 1449
204 1490
204 1533
204 1574
204 1617
204 1658
204 1701
204 1742
204 1785
204 1826
204 1869
204 1910
204 1953
204 1994
204 2037
204 2078
204 2121
204 2162
204 2205
204 2246
204 2289
204 2330
204 2373
204 2414
204 2457
204 2498
204 2541
204 2582
204 2625
204 2666
204 2709
204 2750
204 2793
204 2834
204 2877
204 2918
204 2961
204 3002
204 3045
204 3086
204 3129
204 3170
204 3213
204 3254
204 3297
204 3338
204 3381
204 3422
204 3465
204 3506
204 3549
204 3590
204 3633
204 3674
204 3717
204 3758
204 3801
204 3842
204 3885
204 3926
204 3969
204 4010
204 4053
204 4094
204 4137
204 4178
204 4221
204 4262
204 4305
204 4346
204 4389
204 4430
204 4473
204 4514
204 4557
204 4598
204 4641
204 4682
204 4725
204 4766
204 4809
204 4850
204 4893
204 4934
204 4977
204 5018
204 5061
204 5102
204 5145
204 5186
204 5229
204 5270
204 5313
204 5354
223 26
223 57
223 110
223 141
223 194
223 225
223 278
223 309
223 362
223 393
223 446
223 477
223 530
223 561
223 614
223 645
223 698
223 729
223 782
223 813
223 866
223 897
223 950
223 981
223 1034
223 1065
223 1118
223 1149
223 1202
223 1233
223 1286
223 1317
223 1370
223 1401
223 1454
223 1485
223 1538
223 1569
223 1622
223 1653
223 1706
223 1737
223 1790
223 1821
223 1874
223 1905
223 1958
223 1989
223 2042
223 2073
223 2126
223 2157
223 2210
223 2241
223 2294
223 2325
223 2378
223 2409
223 2462
223 2493
223 2546
223 2577
223 2630
223 2661
223 2714
223 2745
223 2798
223 2829
223 2882
223 2913
223 2966
223 2997
223 3050
223 3081
223 3134
223 3165
223 3218
223 3249
223 3302
223 3333
223 3386
223 3417
223 3470
223 3501
223 3554
223 3585
223 3638
223 3669
223 3722
223 3753
223 3806
223 3837
223 3890
223 3921
223 3974
223 4005
223 4058
223 4089
223 4142
223 4173
223 4226
223 4257
223 4310
223 4341
223 4394
223 4425
223 4478
223 4509
223 4562
223 4593
223 4646
223 4677
223 4730
223 4761
223 4814
223 4845
223 4898
223 4929
223 4982
223 5013
223 5066
223 5097
223 5150
223 5181
223 5234
223 5265
223 5318
223 5349
Case #3:
2 6
2 47
6 15
6 38
7 26
7 27
13 11
13 42
25 26
25 27
32 22
32 31
35 23
35 30
38 8
38 45
Case #4:
3 10
3 113
3 134
3 237
3 258
3 361
3 382
3 485
3 506
3 609
3 630
3 733
3 754
3 857
3 878
3 981
3 1002
3 1105
3 1126
3 1229
3 1250
3 1353
3 1374
3 1477
3 1498
3 1601
3 1622
3 1725
3 1746
3 1849
3 1870
3 1973
3 1994
3 2097
3 2118
3 2221
3 2242
3 2345
3 2366
3 2469
3 2490
3 2593
3 2614
3 2717
3 2738
3 2841
3 2862
3 2965
3 2986
3 3089
3 3110
3 3213
3 3234
3 3337
3 3358
3 3461
3 3482
3 3585
3 3606
3 3709
3 3730
3 3833
3 3854
3 3957
17 28
17 95
17 152
17 219
17 276
17 343
17 400
17 467
17 524
17 591
17 648
17 715
17 772
17 839
17 896
17 963
17 1020
17 1087
17 1144
17 1211
17 1268
17 1335
17 1392
17 1459
17 1516
17 1583
17 1640
17 1707
17 1764
17 1831
17 1888
17 1955
17 2012
17 2079
17 2136
17 2203
17 2260
17 2327
17 2384
17 2451
17 2508
17 2575
17 2632
17 2699
17 2756
17 2823
17 2880
17 2947
17 3004
17 3071
17 3128
17 3195
17 3252
17 3319
17 3376
17 3443
17 3500
17 3567
17 3624
17 3691
17 3748
17 3815
17 3872
17 3939
62 28
62 95
62 152
62 219
62 276
62 343
62 400
62 467
62 524
62 591
62 648
62 715
62 772
62 839
62 896
62 963
62 1020
62 1087
62 1144
62 1211
62 1268
62 1335
62 1392
62 1459
62 1516
62 1583
62 1640
62 1707
62 1764
62 1831
62 1888
62 1955
62 2012
62 2079
62 2136
62 2203
62 2260
62 2327
62 2384
62 2451
62 2508
62 2575
62 2632
62 2699
62 2756
62 2823
62 2880
62 2947
62 3004
62 3071
62 3128
62 3195
62 3252
62 3319
62 3376
62 3443
62 3500
62 3567
62 3624
62 3691
62 3748
62 3815
62 3872
62 3939
76 10
76 113
76 134
76 237
76 258
76 361
76 382
76 485
76 506
76 609
76 630
76 733
76 754
76 857
76 878
76 981
76 1002
76 1105
76 1126
76 1229
76 1250
76 1353
76 1374
76 1477
76 1498
76 1601
76 1622
76 1725
76 1746
76 1849
76 1870
76 1973
76 1994
76 2097
76 2118
76 2221
76 2242
76 2345
76 2366
76 2469
76 2490
76 2593
76 2614
76 2717
76 2738
76 2841
76 2862
76 2965
76 2986
76 3089
76 3110
76 3213
76 3234
76 3337
76 3358
76 3461
76 3482
76 3585
76 3606
76 3709
76 3730
76 3833
76 3854
76 3957
Case #5:
56 36
56 71
71 36
71 71
Case #6:
57 33
57 62
92 33
92 62
207 33
207 62
242 33
242 62
Case #7:
4 7
4 96
32 40
32 63
63 40
63 63
91 7
91 96
100 7
100 96
128 40
128 63
159 40
159 63
187 7
187 96
196 7
196 96
224 40
224 63
255 40
255 63
283 7
283 96
292 7
292 96
320 40
320 63
351 40
351 63
379 7
379 96
388 7
388 96
416 40
416 63
447 40
447 63
475 7
475 96
484 7
484 96
512 40
512 63
543 40
543 63
571 7
571 96
580 7
580 96
608 40
608 63
639 40
639 63
667 7
667 96
676 7
676 96
704 40
704 63
735 40
735 63
763 7
763 96
772 7
772 96
800 40
800 63
831 40
831 63
859 7
859 96
868 7
868 96
896 40
896 63
927 40
927 63
955 7
955 96
964 7
964 96
992 40
992 63
1023 40
1023 63
1051 7
1051 96
1060 7
1060 96
1088 40
1088 63
1119 40
1119 63
1147 7
1147 96
1156 7
1156 96
1184 40
1184 63
1215 40
1215 63
1243 7
1243 96
1252 7
1252 96
1280 40
1280 63
1311 40
1311 63
1339 7
1339 96
1348 7
1348 96
1376 40
1376 63
1407 40
1407 63
1435 7
1435 96
1444 7
1444 96
1472 40
1472 63
1503 40
1503 63
1531 7
1531 96
Case #8:
11 9
11 76
11 95
11 162
15 6
15 79
15 92
15 165
37 21
37 64
37 107
37 150
116 21
116 64
116 107
116 150
138 6
138 79
138 92
138 165
142 9
142 76
142 95
142 162
165 9
165 76
165 95
165 162
169 6
169 79
169 92
169 165
191 21
191 64
191 107
191 150
270 21
270 64
270 107
270 150
292 6
292 79
292 92
292 165
296 9
296 76
296 95
296 162
319 9
319 76
319 95
319 162
323 6
323 79
323 92
323 165
345 21
345 64
345 107
345 150
424 21
424 64
424 107
424 150
446 6
446 79
446 92
446 165
450 9
450 76
450 95
450 162
473 9
473 76
473 95
473 162
477 6
477 79
477 92
477 165
499 21
499 64
499 107
499 150
578 21
578 64
578 107
578 150
600 6
600 79
600 92
600 165
604 9
604 76
604 95
604 162
Case #9:
10 63
10 68
10 195
10 200
10 327
10 332
10 459
10 464
26 30
26 101
26 162
26 233
26 294
26 365
26 426
26 497
37 46
37 85
37 178
37 217
37 310
37 349
37 442
37 481
38 46
38 85
38 178
38 217
38 310
38 349
38 442
38 481
49 30
49 101
49 162
49 233
49 294
49 365
49 426
49 497
65 63
65 68
65 195
65 200
65 327
65 332
65 459
65 464
Case #10:
0 0
0 1
0 2
0 3
0 4
0 5
0 6
0 7
0 8
0 9
0 10
0 11
0 12
0 13
0 14
0 15
1 0
1 1
1 2
1 3
1 4
1 5
1 6
1 7
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 15
2 0
2 1
2 2
2 3
2 4
2 5
2 6
2 7
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 9
3 10
3 11
3 12
3 13
3 14
3 15
4 0
4 1
4 2
4 3
4 4
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 14
4 15
5 0
5 1
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 9
5 10
5 11
5 12
5 13
5 14
5 15
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 9
6 10
6 11
6 12
6 13
6 14
6 15
7 0
7 1
7 2
7 3
7 4
7 5
7 6
7 7
7 8
7 9
7 10
7 11
7 12
7 13
7 14
7 15
8 0
8 1
8 2
8 3
8 4
8 5
8 6
8 7
8 8
8 9
8 10
8 11
8 12
8 13
8 14
8 15
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 9
9 10
9 11
9 12
9 13
9 14
9 15
10 0
10 1
10 2
10 3
10 4
10 5
10 6
10 7
10 8
10 9
10 10
10 11
10 12
10 13
10 14
10 15
11 0
11 1
11 2
11 3
11 4
11 5
11 6
11 7
11 8
11 9
11 10
11 11
11 12
11 13
11 14
11 15
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 9
12 10
12 11
12 12
12 13
12 14
12 15
13 0
13 1
13 2
13 3
13 4
13 5
13 6
13 7
13 8
13 9
13 10
13 11
13 12
13 13
13 14
13 15
14 0
14 1
14 2
14 3
14 4
14 5
14 6
14 7
14 8
14 9
14 10
14 11
14 12
14 13
14 14
14 15
15 0
15 1
15 2
15 3
15 4
15 5
15 6
15 7
15 8
15 9
15 10
15 11
15 12
15 13
15 14
15 15
